cost,Area,type,no.of bed,Bathrooms,Location
"640,000 AED",800 sqft,Apartment,1,2,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"1,190,000 AED",974 sqft,Apartment,1,2,"South Ridge 3, South Ridge, Downtown Dubai, Dubai"
"1,250,000 AED","2,118 sqft",Townhouse,3,4,"Noor Townhouses, Town Square, Dubai"
"610,005 AED",825 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"720,000 AED","1,348 sqft",Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"511,000 AED",511 sqft,Apartment,Studio,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"660,004 AED",673 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"610,505 AED",823 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"1,600,000 AED","1,857 sqft",Apartment,2,4,"Belgravia 2, Belgravia, Jumeirah Village Circle, Dubai"
"7,200,000 AED","4,000 sqft",Villa,5,6,"Palma Residences, Palm Jumeirah, Dubai"
"1,449,999 AED","1,889 sqft",Villa,2,2,"Palmera 2, Palmera, Arabian Ranches, Dubai"
"639,777 AED",817 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"1,100,000 AED","1,373 sqft",Apartment,2,3,"Sigma Towers, City Of Lights, Al Reem Island, Abu Dhabi"
"4,050,000 AED","4,136 sqft",Villa,4,4,"Whispering Pines, Earth, Jumeirah Golf Estates, Dubai"
"875,000 AED","1,327 sqft",Apartment,2,3,"Icon Tower 1, Lake Almas West, Jumeirah Lake Towers, Dubai"
"1,400,000 AED","1,296 sqft",Apartment,2,2,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"3,100,000 AED","3,102 sqft",Villa,3,3,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"610,000 AED",746 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"2,700,000 AED","2,258 sqft",Villa,3,3,"Springs 10, The Springs, Dubai"
"1,850,000 AED","1,067 sqft",Apartment,2,2,"Silverene Tower B, Silverene, Dubai Marina, Dubai"
"1,500,000 AED","1,556 sqft",Apartment,2,3,"The Links West Tower, The Links, The Views, Dubai"
"615,000 AED",718 sqft,Apartment,1,1,"Oceanscape, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,600,000 AED","1,408 sqft",Apartment,2,1,"The Links East Tower, The Links, The Views, Dubai"
"75,000,000 AED","320,788 sqft",Land,,,"KPM Tower, Dubai Marina, Dubai"
"1,350,000 AED","2,045 sqft",Apartment,3,4,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
Ask for price,"6,000 sqft",Villa,5,6,"Carmen, Victory Heights, Dubai Sports City, Dubai"
Ask for price,"6,000 sqft",Villa,5,6,"Carmen, Victory Heights, Dubai Sports City, Dubai"
"2,700,000 AED","2,056 sqft",Apartment,2,4,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai"
Ask for price,"2,788 sqft",Villa,3,3,"Alma 1, Alma, Arabian Ranches, Dubai"
"444,888 AED",342 sqft,Apartment,Studio,1,"UNA Apartments, Town Square, Dubai"
"3,300,000 AED","3,800 sqft",Townhouse,3,3,"Dubai Style, North Village, Al Furjan, Dubai"
"1,500,000 AED","2,367 sqft",Townhouse,4,4,"Noor Townhouses, Town Square, Dubai"
"1,600,000 AED","1,657 sqft",Apartment,1,2,"The Residences 7, The Residences, Downtown Dubai, Dubai"
"1,600,000 AED","1,537 sqft",Apartment,2,2,"The Lofts Podium, The Lofts, Downtown Dubai, Dubai"
"2,575,000 AED","1,600 sqft",Apartment,2,3,"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai"
"5,195,000 AED","5,122 sqft",Villa,6,5,"Al Mahra, Arabian Ranches, Dubai"
"2,650,000 AED","1,709 sqft",Apartment,2,3,"Oceana Pacific, Oceana, Palm Jumeirah, Dubai"
"760,000 AED",828 sqft,Apartment,1,2,"Beverly Residence, Jumeirah Village Circle, Dubai"
"505,000 AED",465 sqft,Apartment,Studio,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"660,000 AED",671 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"3,099,000 AED","1,698 sqft",Apartment,2,3,"Building 1, City Walk, Dubai"
"980,000 AED","1,142 sqft",Apartment,2,3,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
"2,000,000 AED","2,266 sqft",Villa,3,3,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"766,260 AED",828 sqft,Apartment,1,2,"Beverly Residence, Jumeirah Village Circle, Dubai"
"875,000 AED","1,549 sqft",Apartment,2,3,"Oxford Boulevard, Jumeirah Village Circle, Dubai"
"461,000 AED",428 sqft,Apartment,Studio,1,"Pantheon Elysee, Jumeirah Village Circle, Dubai"
Ask for price,"5,600 sqft",Villa,5,4,"Savannah 1, Savannah, Arabian Ranches, Dubai"
"610,300 AED",824 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"2,850,000 AED","1,734 sqft",Apartment,2,4,"Building 9, City Walk, Dubai"
"2,780,000 AED","3,609 sqft",Villa,4,4,"Casa, Arabian Ranches 2, Dubai"
"2,249,950 AED","2,246 sqft",Villa,3,2,"Springs 14, The Springs, Dubai"
"9,125,888 AED","9,590 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"1,999,000 AED","1,365 sqft",Apartment,2,2,"The Residences 5, The Residences, Downtown Dubai, Dubai"
"2,399,999 AED","3,026 sqft",Villa,3,3,"Samara, Arabian Ranches 2, Dubai"
"1,000,000 AED",783 sqft,Apartment,1,1,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"2,300,000 AED","2,423 sqft",Townhouse,4,4,"Maple 2, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"1,500,000 AED","2,516 sqft",Townhouse,3,3,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"4,500,000 AED","4,283 sqft",Villa,5,5,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"2,750,000 AED","2,623 sqft",Penthouse,4,7,"Ocean Heights, Dubai Marina, Dubai"
"1,000,000 AED","1,286 sqft",Apartment,2,2,"Al Arta 2, Al Arta, Greens, Dubai"
"1,575,000 AED",968 sqft,Apartment,1,2,"Damac Heights, Dubai Marina, Dubai"
"830,000 AED","1,021 sqft",Apartment,1,2,"Al Sheraa Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,900,000 AED","1,338 sqft",Apartment,1,2,"Oceana Aegean, Oceana, Palm Jumeirah, Dubai"
"2,300,000 AED","3,573 sqft",Townhouse,4,6,"Habitat, Jumeirah Village Circle, Dubai"
"1,599,999 AED","1,656 sqft",Apartment,2,4,"Mada Residences by ARTAR, Downtown Dubai, Dubai"
"1,450,000 AED","2,020 sqft",Apartment,3,2,"Bennett House 2, Bennett House, Motor City, Dubai"
"3,000,000 AED","2,500 sqft",Apartment,3,3,"Marina Residences 2, Marina Residences, Palm Jumeirah, Dubai"
"3,999,950 AED","4,931 sqft",Villa,5,4,"Meadows 8, Meadows, Dubai"
"1,400,000 AED","1,173 sqft",Apartment,1,1,"Al Hamri, Shoreline Apartments, Palm Jumeirah, Dubai"
"995,000 AED","1,452 sqft",Apartment,2,2,"Widcombe House 4, Widcombe House, Motor City, Dubai"
"1,975,000 AED","1,521 sqft",Apartment,2,3,"Cayan Tower, Dubai Marina, Dubai"
"2,170,000 AED","1,517 sqft",Apartment,2,3,"Damac Heights, Dubai Marina, Dubai"
"2,000,000 AED",858 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,150,000 AED","1,184 sqft",Apartment,1,1,"Al Hamri, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,900,000 AED","1,447 sqft",Apartment,2,3,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"3,900,000 AED","1,768 sqft",Apartment,2,4,"Apartment Building 1, Bluewaters Residences, Bluewaters, Dubai"
"2,600,000 AED","1,954 sqft",Apartment,2,3,"Oceana Adriatic, Oceana, Palm Jumeirah, Dubai"
"3,550,000 AED","2,392 sqft",Apartment,3,3,"Emerald, Tiara Residences, Palm Jumeirah, Dubai"
"3,890,000 AED","4,350 sqft",Villa,4,4,"Bungalows Area, Green Community West, Green Community, Dubai"
"1,425,000 AED","2,055 sqft",Apartment,2,2,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,450,000 AED","1,350 sqft",Apartment,2,2,"The Links East Tower, The Links, The Views, Dubai"
"2,525,000 AED","2,328 sqft",Apartment,3,3,"Acacia, Park Heights, Dubai Hills Estate, Dubai"
"1,300,000 AED",966 sqft,Apartment,1,2,"Index Tower, DIFC, Dubai"
"756,000 AED",769 sqft,Apartment,1,1,"Carson, The Drive, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,650,000 AED","1,651 sqft",Apartment,2,3,"Sky Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"9,500,000 AED","6,704 sqft",Villa,4,5,"Garden Homes Frond D, Garden Homes, Palm Jumeirah, Dubai"
"2,550,000 AED","2,278 sqft",Villa,3,2,"Zulal 1, Zulal, The Lakes, Dubai"
"658,004 AED",669 sqft,Apartment,1,2,"Aria, Jumeirah Village Circle, Dubai"
"375,000 AED",478 sqft,Apartment,Studio,1,"Oxford Boulevard, Jumeirah Village Circle, Dubai"
"1,275,000 AED","1,201 sqft",Apartment,2,2,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"766,000 AED",984 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,275,000 AED","1,203 sqft",Apartment,2,2,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"970,000 AED","1,196 sqft",Apartment,2,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"3,749,000 AED","3,884 sqft",Villa,4,3,"Alvorada 3, Alvorada, Arabian Ranches, Dubai"
"1,900,000 AED","1,927 sqft",Apartment,3,4,"Saba Tower 2, Saba Towers, Jumeirah Lake Towers, Dubai"
"506,300 AED",455 sqft,Apartment,Studio,1,"Beverly Residence, Jumeirah Village Circle, Dubai"
"1,275,000 AED","1,202 sqft",Apartment,2,2,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"1,750,000 AED","1,567 sqft",Apartment,2,3,"Marina Quay West, Marina Quays, Dubai Marina, Dubai"
"630,000 AED",789 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"2,700,000 AED","1,552 sqft",Apartment,2,4,"Mon Reve, Downtown Dubai, Dubai"
"3,700,000 AED","3,035 sqft",Villa,3,4,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
"55,000,000 AED","85,000 sqft",Land,,,"Dubai Hills View, Dubai Hills Estate, Dubai"
"2,200,000 AED","2,270 sqft",Villa,3,3,"Springs 11, The Springs, Dubai"
"21,500,000 AED","28,250 sqft",Land,,,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"3,900,888 AED","3,368 sqft",Villa,4,5,"Golf Grove, Dubai Hills Estate, Dubai"
"3,300,000 AED","3,100 sqft",Villa,3,4,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"1,349,999 AED","1,709 sqft",Apartment,2,2,"Trident Waterfront, Dubai Marina, Dubai"
"1,226,341 AED","1,210 sqft",Apartment,2,2,"Waters Edge, Yas Island, Abu Dhabi"
"12,900,000 AED","6,000 sqft",Villa,4,4,"Garden Homes Frond M, Garden Homes, Palm Jumeirah, Dubai"
"2,000,000 AED","1,345 sqft",Apartment,3,4,"Bonnington Tower, Lake Almas West, Jumeirah Lake Towers, Dubai"
"1,300,000 AED","2,489 sqft",Apartment,3,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"4,500,000 AED","2,021 sqft",Apartment,3,4,"The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai"
"3,450,000 AED","6,210 sqft",Villa,5,5,"Family Villa Area, Green Community East, Green Community, Dubai"
Ask for price,"10,000 sqft",Land,,,"Satwa Road, Al Satwa, Dubai"
"800,000 AED","1,237 sqft",Apartment,2,2,"Tower 1, Al Reef Downtown, Al Reef, Abu Dhabi"
"68,000,000 AED","14,200 sqft",Villa,5,7,"Signature Villas Frond J, Signature Villas, Palm Jumeirah, Dubai"
"1,600,000 AED","2,797 sqft",Townhouse,3,3,"Casa Dora, Serena, Dubai"
"2,590,777 AED","4,542 sqft",Villa,3,4,"Al Jurf, Ghantoot, Abu Dhabi"
"1,800,000 AED","1,541 sqft",Apartment,3,4,"Pixel, Makers District, Al Reem Island, Abu Dhabi"
"3,100,000 AED","2,900 sqft",Villa,4,4,"Royal Park, Jumeirah Park, Dubai"
"2,350,000 AED","1,717 sqft",Apartment,2,3,"The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai"
"3,000,000 AED","3,102 sqft",Villa,3,3,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"4,590,000 AED","4,335 sqft",Villa,4,3,"Regional, Jumeirah Park, Dubai"
"605,000 AED",859 sqft,Apartment,1,2,"Lake City Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"699,000 AED",878 sqft,Apartment,1,2,"Safeer Tower 2, Safeer Towers, Business Bay, Dubai"
"2,149,999 AED","2,600 sqft",Villa,3,3,"Al Reem 1, Al Reem, Arabian Ranches, Dubai"
"1,362,000 AED",759 sqft,Apartment,1,1,"Port de La Mer, La Mer, Jumeirah, Dubai"
"5,900,000 AED","11,050 sqft",Villa,4,4,"Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai"
"4,555,888 AED","1,940 sqft",Apartment,3,4,"Grand Bleu Tower, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,300,000 AED",867 sqft,Apartment,1,2,"Kamoon 1, Kamoon, Old Town, Dubai"
"4,036,000 AED","2,017 sqft",Apartment,3,3,"Port de La Mer, La Mer, Jumeirah, Dubai"
"2,250,000 AED","2,185 sqft",Apartment,3,3,"Executive Tower H, Executive Towers, Business Bay, Dubai"
"9,221,888 AED","12,542 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"3,000,000 AED","3,527 sqft",Villa,3,3,"Legacy, Jumeirah Park, Dubai"
"3,150,000 AED","4,785 sqft",Villa,5,5,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"1,052,888 AED",314 sqft,Apartment,Studio,1,"Seven Palm, Palm Jumeirah, Dubai"
"1,600,000 AED","1,062 sqft",Apartment,2,2,"Silverene Tower A, Silverene, Dubai Marina, Dubai"
"649,000 AED",690 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"4,900,000 AED","4,544 sqft",Villa,3,4,"Al Mesk Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"2,499,999 AED","3,143 sqft",Villa,3,4,"Casa, Arabian Ranches 2, Dubai"
"2,499,999 AED","3,800 sqft",Townhouse,4,5,"Naseem, Mudon, Dubai"
"900,000 AED",783 sqft,Apartment,1,2,"Burj Views A, Burj Views, Downtown Dubai, Dubai"
"2,600,000 AED","1,994 sqft",Apartment,2,4,"Al Haseer, Shoreline Apartments, Palm Jumeirah, Dubai"
"685,000 AED",814 sqft,Apartment,1,2,"Sandoval Gardens, Jumeirah Village Circle, Dubai"
"2,890,000 AED","1,512 sqft",Apartment,2,3,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai"
"2,000,000 AED","1,678 sqft",Apartment,2,3,"South Ridge 2, South Ridge, Downtown Dubai, Dubai"
"1,449,000 AED","1,889 sqft",Villa,2,2,"Palmera 4, Palmera, Arabian Ranches, Dubai"
"1,520,000 AED","2,015 sqft",Townhouse,3,3,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai"
"3,400,000 AED","5,973 sqft",Villa,5,,"Hacienda, The Villa, Dubai"
"1,960,000 AED","3,316 sqft",Villa,4,5,"Nasma Residence, Al Tai, Sharjah"
"899,000 AED","1,234 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"705,501 AED",821 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"699,000 AED","1,128 sqft",Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"14,850,000 AED","5,018 sqft",Apartment,5,4,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"8,495,000 AED","5,000 sqft",Villa,4,6,"Garden Homes Frond A, Garden Homes, Palm Jumeirah, Dubai"
"705,555 AED",818 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"980,009 AED","1,029 sqft",Apartment,2,3,"Aria, Jumeirah Village Circle, Dubai"
"612,000 AED",813 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
Ask for price,"5,091 sqft",Villa,5,6,"Garden Homes Frond N, Garden Homes, Palm Jumeirah, Dubai"
"2,150,000 AED","4,704 sqft",Townhouse,3,4,"Al Zahia 3, Al Zahia, Muwaileh Commercial, Sharjah"
"1,275,000 AED","1,224 sqft",Apartment,2,2,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"975,008 AED","1,025 sqft",Apartment,2,3,"Aria, Jumeirah Village Circle, Dubai"
"3,749,000 AED","4,401 sqft",Villa,5,4,"Mirador, Arabian Ranches, Dubai"
"730,000 AED",838 sqft,Apartment,1,1,"C2 Tower, City Of Lights, Al Reem Island, Abu Dhabi"
"724,000 AED",789 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"705,509 AED",814 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,500,000 AED","1,722 sqft",Apartment,3,4,"Marina Heights, Dubai Marina, Dubai"
"950,000 AED",958 sqft,Apartment,1,1,"The Lofts West, The Lofts, Downtown Dubai, Dubai"
"999,000 AED","1,196 sqft",Apartment,2,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"29,000,000 AED","37,786 sqft",Villa,7,7+,"Dubai Hills Grove, Dubai Hills Estate, Dubai"
"14,500,000 AED","11,000 sqft",Villa,6,7,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"705,503 AED",815 sqft,Apartment,1,2,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"11,259,720 AED","93,831 sqft",Land,,,"Phase 2, Al Furjan, Dubai"
"640,000 AED",817 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"899,000 AED","1,232 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"899,000 AED","1,231 sqft",Apartment,2,3,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"375,000 AED",420 sqft,Apartment,Studio,1,"Crystal Residence, Jumeirah Village Circle, Dubai"
"1,250,000 AED",945 sqft,Apartment,1,1,"Al Majara 2, Al Majara, Dubai Marina, Dubai"
Ask for price,"30,341 sqft",Villa,6,7,"The Centro, The Villa, Dubai"
"1,049,987 AED","1,089 sqft",Apartment,1,1,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai"
"1,000,000 AED",909 sqft,Apartment,1,2,"Burj Views C, Burj Views, Downtown Dubai, Dubai"
"1,200,000 AED","2,152 sqft",Townhouse,3,3,"Noor Townhouses, Town Square, Dubai"
"1,972,050 AED","1,314 sqft",Apartment,2,3,"Damac Heights, Dubai Marina, Dubai"
"439,205 AED",422 sqft,Apartment,Studio,1,"Aria, Jumeirah Village Circle, Dubai"
"615,000 AED",807 sqft,Apartment,1,2,"Rigel, Jumeirah Village Circle, Dubai"
"3,800,000 AED","1,925 sqft",Apartment,3,4,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"1,520,000 AED","2,901 sqft",Townhouse,4,4,"Naseem Townhouses, Town Square, Dubai"
"3,595,000 AED","3,523 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"742,888 AED",314 sqft,Apartment,Studio,1,"Seven Palm, Palm Jumeirah, Dubai"
"992,888 AED",637 sqft,Apartment,1,2,"Seven Palm, Palm Jumeirah, Dubai"
"430,000 AED",388 sqft,Apartment,Studio,1,"Park Vista, Jumeirah Village Circle, Dubai"
"3,099,999 AED","3,527 sqft",Villa,3,4,"Heritage, Jumeirah Park, Dubai"
"1,900,000 AED","1,302 sqft",Apartment,2,3,"Fairfield Tower, Park Island, Dubai Marina, Dubai"
"185,000 AED","1,080 sqft",Apartment,1,2,"Lavender Tower, Emirates City, Ajman"
"3,649,999 AED","3,809 sqft",Villa,4,3,"Mirador, Arabian Ranches, Dubai"
"999,888 AED","2,459 sqft",Villa,3,4,"Casablanca Boutique Villas, Pacifica, Akoya, Dubai"
"700,000 AED",817 sqft,Apartment,1,1,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi"
"12,200,000 AED","15,100 sqft",Land,,,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"2,900,000 AED","2,836 sqft",Villa,4,2,"Palmera 3, Palmera, Arabian Ranches, Dubai"
"660,000 AED",766 sqft,Apartment,1,2,"Park Vista, Jumeirah Village Circle, Dubai"
"2,500,000 AED","2,001 sqft",Apartment,3,3,"Marina Tower, Dubai Marina, Dubai"
"5,399,950 AED","5,285 sqft",Villa,4,4,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai"
"9,500,000 AED","3,500 sqft",Penthouse,4,4,"The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"850,000 AED",760 sqft,Apartment,Studio,1,"Rimal 2, Rimal, Jumeirah Beach Residence, Dubai"
"2,000,000 AED","1,497 sqft",Apartment,2,3,"Beauport Tower, Marina Promenade, Dubai Marina, Dubai"
"1,800,000 AED","1,302 sqft",Apartment,2,3,"Fairfield Tower, Park Island, Dubai Marina, Dubai"
